time,GHI,AC_Power_W,Wind_Power_W,PU,Wind_PU
2020-01-01 08:30:00+08:00,0.0,0.0,5229739.9047537325,0.0,0.05229739904753732
2020-01-01 09:30:00+08:00,123.31,31132618.25922921,4715590.18187814,0.3113261825922921,0.047155901818781404
2020-01-01 10:30:00+08:00,280.61,54843955.41129344,2218291.5279109795,0.5484395541129344,0.022182915279109795
2020-01-01 11:30:00+08:00,408.36,70611175.64792767,5743889.627629328,0.7061117564792767,0.057438896276293276
2020-01-01 12:30:00+08:00,482.81,78547351.25586832,8980871.804919288,0.7854735125586831,0.08980871804919288
2020-01-01 13:30:00+08:00,499.51,79876237.45412728,9546436.500082444,0.7987623745412729,0.09546436500082445
2020-01-01 14:30:00+08:00,452.61,74313942.77978434,10112001.195245596,0.7431394277978434,0.10112001195245596
2020-01-01 15:30:00+08:00,349.66,62253713.099165335,8980871.804919288,0.6225371309916533,0.08980871804919288
2020-01-01 16:30:00+08:00,203.56,42491625.05083782,7364972.675881716,0.4249162505083782,0.07364972675881716
2020-01-01 17:30:00+08:00,0.0,0.0,5743889.627629328,0.0,0.057438896276293276
2020-01-01 18:30:00+08:00,0.0,0.0,1406997.6246479372,0.0,0.014069976246479373
2020-01-01 19:30:00+08:00,0.0,0.0,657808.028457788,0.0,0.00657808028457788
2020-01-01 20:30:00+08:00,0.0,0.0,0.0,0.0,0.0
2020-01-01 21:30:00+08:00,0.0,0.0,0.0,0.0,0.0
2020-01-01 22:30:00+08:00,0.0,0.0,0.0,0.0,0.0
2020-01-01 23:30:00+08:00,0.0,0.0,4201440.459002549,0.0,0.042014404590025485
2020-01-02 00:30:00+08:00,0.0,0.0,5229739.9047537325,0.0,0.05229739904753732
2020-01-02 01:30:00+08:00,0.0,0.0,5743889.627629328,0.0,0.057438896276293276
2020-01-02 02:30:00+08:00,0.0,0.0,1704141.805035383,0.0,0.01704141805035383
2020-01-02 03:30:00+08:00,0.0,0.0,349318.1947324329,0.0,0.003493181947324329
2020-01-02 04:30:00+08:00,0.0,0.0,0.0,0.0,0.0
2020-01-02 05:30:00+08:00,0.0,0.0,0.0,0.0,0.0
2020-01-02 06:30:00+08:00,0.0,0.0,0.0,0.0,0.0
2020-01-02 07:30:00+08:00,0.0,0.0,0.0,0.0,0.0
2020-01-02 08:30:00+08:00,0.0,0.0,0.0,0.0,0.0
2020-01-02 09:30:00+08:00,122.91,30295326.143119756,0.0,0.30295326143119755,0.0
2020-01-02 10:30:00+08:00,280.91,54021507.988928616,0.0,0.5402150798892862,0.0
2020-01-02 11:30:00+08:00,408.51,69156719.62122636,0.0,0.6915671962122636,0.0
2020-01-02 12:30:00+08:00,485.21,76630573.09462239,0.0,0.7663057309462239,0.0
2020-01-02 13:30:00+08:00,502.36,77649933.32691151,0.0,0.7764993332691151,0.0
2020-01-02 14:30:00+08:00,459.36,72972525.14623335,0.0,0.7297252514623335,0.0
2020-01-02 15:30:00+08:00,357.21000000000004,61607348.3604278,0.0,0.6160734836042779,0.0
2020-01-02 16:30:00+08:00,206.51,41310477.74130974,0.0,0.4131047774130974,0.0
2020-01-02 17:30:00+08:00,0.0,0.0,0.0,0.0,0.0
2020-01-02 18:30:00+08:00,0.0,0.0,0.0,0.0,0.0
2020-01-02 19:30:00+08:00,0.0,0.0,40828.36100707632,0.0,0.0004082836100707632
2020-01-02 20:30:00+08:00,0.0,0.0,503563.11159511044,0.0,0.005035631115951104
2020-01-02 21:30:00+08:00,0.0,0.0,0.0,0.0,0.0
2020-01-02 22:30:00+08:00,0.0,0.0,0.0,0.0,0.0
2020-01-02 23:30:00+08:00,0.0,0.0,0.0,0.0,0.0
2020-01-03 00:30:00+08:00,0.0,0.0,0.0,0.0,0.0
2020-01-03 01:30:00+08:00,0.0,0.0,0.0,0.0,0.0
2020-01-03 02:30:00+08:00,0.0,0.0,0.0,0.0,0.0
2020-01-03 03:30:00+08:00,0.0,0.0,0.0,0.0,0.0
2020-01-03 04:30:00+08:00,0.0,0.0,0.0,0.0,0.0
2020-01-03 05:30:00+08:00,0.0,0.0,0.0,0.0,0.0
2020-01-03 06:30:00+08:00,0.0,0.0,0.0,0.0,0.0
2020-01-03 07:30:00+08:00,0.0,0.0,0.0,0.0,0.0
2020-01-03 08:30:00+08:00,0.0,0.0,790017.9571972261,0.0,0.007900179571972261
2020-01-03 09:30:00+08:00,123.51,30513018.095254675,1252752.7077852595,0.30513018095254674,0.012527527077852594
2020-01-03 10:30:00+08:00,282.66,54262655.78456269,1252752.7077852595,0.542626557845627,0.012527527077852594
2020-01-03 11:30:00+08:00,412.11,69513471.59364331,4201440.459002549,0.6951347159364331,0.042014404590025485
2020-01-03 12:30:00+08:00,490.61,77667788.207218,12612425.415106155,0.77667788207218,0.12612425415106154
2020-01-03 13:30:00+08:00,508.76,79193180.1846173,20809440.99695132,0.791931801846173,0.2080944099695132
2020-01-03 14:30:00+08:00,463.21,74028889.05118394,29207356.768592462,0.7402888905118394,0.29207356768592463
